,sentences,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_CCONJ_count,POS_ADV_count,POS_NOUN_count,POS_PRON_count,POS_VERB_count,POS_PROPN_count,POS_PUNCT_count,POS_AUX_count,POS_NUM_count,POS_PART_count,POS_SCONJ_count,POS_INTJ_count,POS_X_count,POS_SYM_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_CCONJ_count,%POS_ADV_count,%POS_NOUN_count,%POS_PRON_count,%POS_VERB_count,%POS_PROPN_count,%POS_PUNCT_count,%POS_AUX_count,%POS_NUM_count,%POS_PART_count,%POS_SCONJ_count,%POS_INTJ_count,%POS_X_count,%POS_SYM_count
470,"When he asked her her name, she said immediately -- ‘""Cytherea"" -- and stopped suddenly.’ ‘My own name!’ said Cytherea.",1,20,"[['SCONJ', 1], ['PRON', 5], ['VERB', 4], ['NOUN', 2], ['PUNCT', 12], ['ADV', 2], ['PROPN', 2], ['CCONJ', 1], ['ADJ', 1]]",30,0.0,0.0,1.0,1.0,2.0,2.0,5.0,4.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.333,3.333,6.667,6.667,16.667,13.333,6.667,40.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0
471,‘Yes -- your name.,1,4,"[['PUNCT', 3], ['INTJ', 1], ['PRON', 1], ['NOUN', 1]]",6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,16.667,0.0,0.0,50.0,0.0,0.0,0.0,0.0,16.667,0.0,0.0
472,"Well, the gateman thought at the time it might be equally with Jane a name she had invented for the occasion, that they might not trace her; but I think it was truth unconsciously uttered, for she added directly afterwards: ""O, what have I said!""",1,45,"[['INTJ', 2], ['PUNCT', 9], ['DET', 4], ['NOUN', 5], ['VERB', 7], ['ADP', 3], ['PRON', 9], ['AUX', 6], ['ADV', 4], ['PROPN', 1], ['SCONJ', 2], ['PART', 1], ['CCONJ', 1]]",54,3.0,4.0,0.0,1.0,4.0,5.0,9.0,7.0,1.0,9.0,6.0,0.0,1.0,2.0,2.0,0.0,0.0,5.556,7.407,0.0,1.852,7.407,9.259,16.667,12.963,1.852,16.667,11.111,0.0,1.852,3.704,3.704,0.0,0.0
473,and was quite overcome again -- this time with fright.,0,10,"[['CCONJ', 1], ['AUX', 1], ['ADV', 2], ['VERB', 1], ['PUNCT', 2], ['DET', 1], ['NOUN', 1], ['ADP', 1], ['PROPN', 1]]",11,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091,9.091,0.0,9.091,18.182,9.091,0.0,9.091,9.091,18.182,9.091,0.0,0.0,0.0,0.0,0.0,0.0
474,"Her vexation that the woman now doubted the genuineness of her other name was very much greater than that the innkeeper did, and it is evident that to blind the woman was her main object.",0,35,"[['PRON', 5], ['NOUN', 6], ['SCONJ', 2], ['DET', 4], ['ADV', 4], ['VERB', 3], ['ADP', 2], ['ADJ', 4], ['AUX', 3], ['PUNCT', 2], ['CCONJ', 1], ['PART', 1]]",37,2.0,4.0,4.0,1.0,4.0,6.0,5.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,5.405,10.811,10.811,2.703,10.811,16.216,13.514,8.108,0.0,5.405,8.108,0.0,2.703,5.405,0.0,0.0,0.0
475,"He also learnt from words the elderly woman casually dropped, that meetings of the same kind had been held before, and that the falseness of the soi-disant Miss Jane Taylor’s name had never been suspected by this dependent or confederate till then.",0,42,"[['PRON', 1], ['ADV', 5], ['VERB', 5], ['ADP', 4], ['NOUN', 6], ['DET', 5], ['ADJ', 5], ['PUNCT', 4], ['SCONJ', 3], ['AUX', 4], ['CCONJ', 2], ['PROPN', 3], ['PART', 1]]",48,4.0,5.0,5.0,2.0,5.0,6.0,1.0,5.0,3.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,8.333,10.417,10.417,4.167,10.417,12.5,2.083,10.417,6.25,8.333,8.333,0.0,2.083,6.25,0.0,0.0,0.0
476,"‘She recovered, rested there for an hour, and first sending off her companion peremptorily (which was another odd thing), she left the house, offering the landlord all the money she had to say nothing about the circumstance.",0,37,"[['PUNCT', 8], ['PRON', 6], ['VERB', 7], ['ADV', 3], ['ADP', 3], ['DET', 7], ['NOUN', 7], ['CCONJ', 1], ['AUX', 1], ['ADJ', 1], ['PART', 1]]",45,3.0,7.0,1.0,1.0,3.0,7.0,6.0,7.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.667,15.556,2.222,2.222,6.667,15.556,13.333,15.556,0.0,17.778,2.222,0.0,2.222,0.0,0.0,0.0,0.0
477,"He has never seen her since, according to his own account.",0,11,"[['PRON', 3], ['AUX', 1], ['ADV', 1], ['VERB', 2], ['SCONJ', 1], ['PUNCT', 2], ['ADP', 1], ['ADJ', 1], ['NOUN', 1]]",13,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.692,0.0,7.692,0.0,7.692,7.692,23.077,15.385,0.0,15.385,7.692,0.0,0.0,7.692,0.0,0.0,0.0
478,"I said to him again and again, ""Did you find any more particulars afterwards?""",0,14,"[['PRON', 4], ['VERB', 2], ['ADP', 1], ['ADV', 3], ['CCONJ', 1], ['PUNCT', 4], ['AUX', 1], ['ADJ', 1], ['NOUN', 1]]",18,1.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,0.0,5.556,5.556,16.667,5.556,22.222,11.111,0.0,22.222,5.556,0.0,0.0,0.0,0.0,0.0,0.0
479,"""Not a syllable,"" he said.",1,5,"[['PUNCT', 4], ['PART', 1], ['DET', 1], ['NOUN', 1], ['PRON', 1], ['VERB', 1]]",9,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,11.111,11.111,11.111,0.0,44.444,0.0,0.0,11.111,0.0,0.0,0.0,0.0
480,"O, he should never hear any more of that!",1,9,"[['INTJ', 1], ['PUNCT', 2], ['PRON', 2], ['AUX', 1], ['ADV', 1], ['VERB', 1], ['DET', 1], ['ADJ', 1], ['ADP', 1]]",11,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.091,9.091,9.091,0.0,9.091,0.0,18.182,9.091,0.0,18.182,9.091,0.0,0.0,0.0,9.091,0.0,0.0
481,too many years had passed since it happened.,1,8,"[['ADV', 1], ['ADJ', 1], ['NOUN', 1], ['AUX', 1], ['VERB', 2], ['SCONJ', 1], ['PRON', 1], ['PUNCT', 1]]",9,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,11.111,11.111,11.111,22.222,0.0,11.111,11.111,0.0,0.0,11.111,0.0,0.0,0.0
482,"""At any rate, you found out her surname?""",1,8,"[['PUNCT', 4], ['ADP', 2], ['DET', 1], ['NOUN', 2], ['PRON', 2], ['VERB', 1]]",12,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,8.333,0.0,0.0,0.0,16.667,16.667,8.333,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,I said.,0,2,"[['PRON', 1], ['VERB', 1], ['PUNCT', 1]]",3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,"""Well, well, that’s my secret,"" he went on.",1,8,"[['PUNCT', 6], ['INTJ', 2], ['PRON', 3], ['VERB', 2], ['NOUN', 1], ['ADP', 1]]",15,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,6.667,20.0,13.333,0.0,40.0,0.0,0.0,0.0,0.0,13.333,0.0,0.0
485,"""Perhaps I should never have been in this part of the world if it hadn’t been for that.",1,18,"[['PUNCT', 2], ['ADV', 2], ['PRON', 3], ['AUX', 5], ['ADP', 3], ['DET', 2], ['NOUN', 2], ['SCONJ', 1], ['PART', 1]]",21,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,14.286,9.524,0.0,0.0,9.524,9.524,14.286,0.0,0.0,9.524,23.81,0.0,4.762,4.762,0.0,0.0,0.0
486,"I failed as a publican, you know.""",1,7,"[['PRON', 2], ['VERB', 2], ['ADP', 1], ['DET', 1], ['NOUN', 1], ['PUNCT', 3]]",10,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,I imagine the situation of gateman was given him and his debts paid off as a bribe to silence; but I can’t say.,0,23,"[['PRON', 4], ['VERB', 5], ['DET', 2], ['NOUN', 3], ['ADP', 3], ['PROPN', 1], ['AUX', 2], ['CCONJ', 2], ['PART', 2], ['PUNCT', 2]]",26,3.0,2.0,0.0,2.0,0.0,3.0,4.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.538,7.692,0.0,7.692,0.0,11.538,15.385,19.231,3.846,7.692,7.692,0.0,7.692,0.0,0.0,0.0,0.0
488,"""Ah, yes!""",1,2,"[['PUNCT', 4], ['INTJ', 2]]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,33.333,0.0,0.0
489,"he said, with a long breath.",0,6,"[['PRON', 1], ['VERB', 1], ['PUNCT', 2], ['ADP', 1], ['DET', 1], ['ADJ', 1], ['NOUN', 1]]",8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,"""I have never heard that name mentioned since that time till to-night, and then there instantly rose to my eyes the vision of that young lady lying in a fainting fit.""",1,31,"[['PUNCT', 5], ['PRON', 3], ['AUX', 1], ['ADV', 3], ['VERB', 5], ['DET', 5], ['NOUN', 7], ['SCONJ', 2], ['PART', 1], ['CCONJ', 1], ['ADP', 3], ['ADJ', 1]]",37,3.0,5.0,1.0,1.0,3.0,7.0,3.0,5.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,8.108,13.514,2.703,2.703,8.108,18.919,8.108,13.514,0.0,13.514,2.703,0.0,2.703,5.405,0.0,0.0,0.0
491,He then stopped talking and fell asleep.,0,7,"[['PRON', 1], ['ADV', 1], ['VERB', 3], ['CCONJ', 1], ['ADJ', 1], ['PUNCT', 1]]",8,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,12.5,37.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,"Telling the story must have relieved him as it did the Ancient Mariner, for he did not move a muscle or make another sound for the remainder of the night.",0,30,"[['VERB', 5], ['DET', 6], ['NOUN', 5], ['AUX', 3], ['PRON', 3], ['SCONJ', 2], ['PROPN', 2], ['PUNCT', 2], ['PART', 1], ['CCONJ', 1], ['ADP', 2]]",32,2.0,6.0,0.0,1.0,0.0,5.0,3.0,5.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,6.25,18.75,0.0,3.125,0.0,15.625,9.375,15.625,6.25,6.25,9.375,0.0,3.125,6.25,0.0,0.0,0.0
493,"Now isn’t that an odd story?’ ‘It is indeed,’ Cytherea murmured.",0,11,"[['ADV', 2], ['AUX', 2], ['PART', 1], ['SCONJ', 1], ['DET', 1], ['ADJ', 1], ['NOUN', 1], ['PUNCT', 6], ['PRON', 1], ['PROPN', 1], ['VERB', 1]]",18,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.556,5.556,0.0,11.111,5.556,5.556,5.556,5.556,33.333,11.111,0.0,5.556,5.556,0.0,0.0,0.0
494,"‘Very, very strange.’ ‘Why should she have said your most uncommon name?’ continued Owen.",0,14,"[['PUNCT', 8], ['ADJ', 3], ['ADV', 2], ['SCONJ', 1], ['AUX', 2], ['PRON', 2], ['VERB', 2], ['NOUN', 1], ['PROPN', 1]]",22,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.636,0.0,9.091,4.545,9.091,9.091,4.545,36.364,9.091,0.0,0.0,4.545,0.0,0.0,0.0
495,"‘The man was evidently truthful, for there was not motive sufficient for his invention of such a tale, and he could not have done it either.’ Cytherea looked long at her brother.",0,32,"[['PUNCT', 6], ['DET', 3], ['NOUN', 4], ['AUX', 3], ['ADV', 3], ['ADJ', 3], ['SCONJ', 1], ['PRON', 5], ['VERB', 3], ['PART', 2], ['ADP', 3], ['CCONJ', 1], ['PROPN', 1]]",38,3.0,3.0,3.0,1.0,3.0,4.0,5.0,3.0,1.0,6.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,7.895,7.895,7.895,2.632,7.895,10.526,13.158,7.895,2.632,15.789,7.895,0.0,5.263,2.632,0.0,0.0,0.0
496,‘Don’t you recognize anything else in connection with the story?’ she said.,0,12,"[['PUNCT', 4], ['AUX', 1], ['PART', 1], ['PRON', 3], ['VERB', 2], ['ADV', 1], ['ADP', 2], ['NOUN', 2], ['DET', 1]]",17,2.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.765,5.882,0.0,0.0,5.882,11.765,17.647,11.765,0.0,23.529,5.882,0.0,5.882,0.0,0.0,0.0,0.0
497,‘What?’ he asked.,0,3,"[['PUNCT', 4], ['PRON', 2], ['VERB', 1]]",7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571,14.286,0.0,57.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,"‘Do you remember what poor papa once let drop -- that Cytherea was the name of his first sweetheart in Bloomsbury, who so mysteriously renounced him?",0,26,"[['PUNCT', 4], ['AUX', 2], ['PRON', 4], ['VERB', 3], ['DET', 2], ['ADJ', 2], ['NOUN', 4], ['ADV', 3], ['SCONJ', 1], ['PROPN', 2], ['ADP', 2]]",29,2.0,2.0,2.0,0.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.897,6.897,6.897,0.0,10.345,13.793,13.793,10.345,6.897,13.793,6.897,0.0,0.0,3.448,0.0,0.0,0.0
499,"A sort of intuition tells me that this was the same woman.’ ‘O no -- not likely,’ said her brother sceptically.",0,21,"[['DET', 2], ['NOUN', 4], ['ADP', 1], ['VERB', 2], ['PRON', 3], ['SCONJ', 1], ['AUX', 1], ['ADJ', 2], ['PUNCT', 7], ['INTJ', 2], ['PART', 1], ['ADV', 1]]",27,1.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.704,7.407,7.407,0.0,3.704,14.815,11.111,7.407,0.0,25.926,3.704,0.0,3.704,3.704,7.407,0.0,0.0
500,"‘How not likely, Owen?",0,4,"[['PUNCT', 3], ['SCONJ', 1], ['PART', 1], ['ADJ', 1], ['PROPN', 1]]",7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0,0.0,14.286,42.857,0.0,0.0,14.286,14.286,0.0,0.0,0.0
501,There’s not another woman of the name in England.,0,9,"[['PRON', 1], ['VERB', 1], ['PART', 1], ['DET', 2], ['NOUN', 2], ['ADP', 2], ['PROPN', 1], ['PUNCT', 1]]",11,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.182,18.182,0.0,0.0,0.0,18.182,9.091,9.091,9.091,9.091,0.0,0.0,9.091,0.0,0.0,0.0,0.0
502,In what year used papa to say the event took place?’ ‘Eighteen hundred and thirty-five.’ ‘And when were the Houses of Parliament burnt?,0,23,"[['ADP', 2], ['DET', 3], ['NOUN', 4], ['VERB', 4], ['PART', 1], ['PUNCT', 8], ['NUM', 4], ['CCONJ', 2], ['SCONJ', 1], ['AUX', 1], ['PROPN', 2]]",32,2.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,8.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,6.25,9.375,0.0,6.25,0.0,12.5,0.0,12.5,6.25,25.0,3.125,12.5,3.125,3.125,0.0,0.0,0.0
503,"-- stop, I can tell you.’ She searched their little stock of books for a list of dates, and found one in an old school history.",0,26,"[['PUNCT', 6], ['VERB', 4], ['PRON', 4], ['AUX', 1], ['ADJ', 2], ['NOUN', 6], ['ADP', 4], ['DET', 2], ['CCONJ', 1], ['NUM', 1]]",31,4.0,2.0,2.0,1.0,0.0,6.0,4.0,4.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.903,6.452,6.452,3.226,0.0,19.355,12.903,12.903,0.0,19.355,3.226,3.226,0.0,0.0,0.0,0.0,0.0
504,"‘The Houses of Parliament were burnt down in the evening of the sixteenth of October, eighteen hundred and thirty-four.’ ‘Nearly a year and a quarter before she met father,’ remarked Owen.",0,31,"[['PUNCT', 9], ['DET', 5], ['PROPN', 4], ['ADP', 5], ['AUX', 1], ['VERB', 3], ['NOUN', 5], ['NUM', 4], ['CCONJ', 2], ['ADV', 1], ['SCONJ', 1], ['PRON', 1]]",41,5.0,5.0,0.0,2.0,1.0,5.0,1.0,3.0,4.0,9.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,12.195,12.195,0.0,4.878,2.439,12.195,2.439,7.317,9.756,21.951,2.439,9.756,0.0,2.439,0.0,0.0,0.0
505,They were silent.,0,3,"[['PRON', 1], ['AUX', 1], ['ADJ', 1], ['PUNCT', 1]]",4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
506,"‘If papa had been alive, what a wonderful absorbing interest this story would have had for him,’ said Cytherea by-and-by.",0,20,"[['PUNCT', 7], ['SCONJ', 1], ['PROPN', 2], ['AUX', 4], ['ADJ', 2], ['PRON', 2], ['DET', 2], ['NOUN', 4], ['VERB', 2], ['ADP', 2], ['CCONJ', 1]]",29,2.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.897,6.897,6.897,3.448,0.0,13.793,6.897,6.897,6.897,24.138,13.793,0.0,0.0,3.448,0.0,0.0,0.0
507,‘And how strangely knowledge comes to us.,0,7,"[['PUNCT', 2], ['CCONJ', 1], ['SCONJ', 1], ['ADV', 1], ['NOUN', 1], ['VERB', 1], ['ADP', 1], ['PRON', 1]]",9,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.111,0.0,0.0,11.111,11.111,11.111,11.111,11.111,0.0,22.222,0.0,0.0,0.0,11.111,0.0,0.0,0.0
508,"We might have searched for a clue to her secret half the world over, and never found one.",0,18,"[['PRON', 2], ['AUX', 2], ['VERB', 2], ['ADP', 2], ['DET', 3], ['NOUN', 2], ['ADJ', 1], ['ADV', 2], ['PUNCT', 2], ['CCONJ', 1], ['NUM', 1]]",20,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,5.0,5.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
509,"If we had really had any motive for trying to discover more of the sad history than papa told us, we should have gone to Bloomsbury; but not caring to do so, we go two hundred miles in the opposite direction, and there find information waiting to be told us.",0,50,"[['SCONJ', 2], ['PRON', 5], ['AUX', 4], ['ADV', 3], ['VERB', 11], ['DET', 3], ['NOUN', 5], ['ADP', 4], ['PART', 4], ['ADJ', 3], ['PROPN', 2], ['PUNCT', 5], ['CCONJ', 2], ['NUM', 2]]",55,4.0,3.0,3.0,2.0,3.0,5.0,5.0,11.0,2.0,5.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,7.273,5.455,5.455,3.636,5.455,9.091,9.091,20.0,3.636,9.091,7.273,3.636,7.273,3.636,0.0,0.0,0.0
510,"What could have been the secret, Owen?’ ‘Heaven knows.",0,9,"[['PRON', 1], ['AUX', 3], ['DET', 1], ['NOUN', 1], ['PUNCT', 5], ['PROPN', 2], ['VERB', 1]]",14,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.143,0.0,0.0,0.0,7.143,7.143,7.143,14.286,35.714,21.429,0.0,0.0,0.0,0.0,0.0,0.0
511,But our having heard a little more of her in this way (if she is the same woman) is a mere coincidence after all -- a family story to tell our friends if we ever have any.,0,37,"[['CCONJ', 1], ['PRON', 6], ['AUX', 3], ['VERB', 3], ['DET', 5], ['ADJ', 4], ['ADP', 2], ['NOUN', 6], ['PUNCT', 4], ['SCONJ', 2], ['ADV', 3], ['PART', 1]]",40,2.0,5.0,4.0,1.0,3.0,6.0,6.0,3.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,12.5,10.0,2.5,7.5,15.0,15.0,7.5,0.0,10.0,7.5,0.0,2.5,5.0,0.0,0.0,0.0
512,But we shall never know any more of the episode now -- trust our fates for that.’ Cytherea sat silently thinking.,0,21,"[['CCONJ', 1], ['PRON', 3], ['AUX', 1], ['ADV', 3], ['VERB', 4], ['DET', 2], ['ADJ', 1], ['ADP', 2], ['NOUN', 2], ['PUNCT', 4], ['PROPN', 1]]",24,2.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,8.333,4.167,4.167,12.5,8.333,12.5,16.667,4.167,16.667,4.167,0.0,0.0,0.0,0.0,0.0,0.0
513,"‘There was no answer this morning to your advertisement, Cytherea?’ he continued.",0,12,"[['PUNCT', 5], ['PRON', 3], ['VERB', 2], ['DET', 2], ['NOUN', 3], ['ADP', 1], ['PROPN', 1]]",17,1.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882,11.765,0.0,0.0,0.0,17.647,17.647,11.765,5.882,29.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,"‘None.’ ‘I could see that by your looks when I came in.’ ‘Fancy not getting a single one,’ she said sadly.",0,21,"[['PUNCT', 10], ['NOUN', 3], ['PRON', 4], ['AUX', 1], ['VERB', 4], ['SCONJ', 2], ['ADP', 2], ['ADJ', 2], ['PART', 1], ['DET', 1], ['ADV', 1]]",31,2.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.452,3.226,6.452,0.0,3.226,9.677,12.903,12.903,0.0,32.258,3.226,0.0,3.226,6.452,0.0,0.0,0.0
515,"‘Surely there must be people somewhere who want governesses?’ ‘Yes; but those who want them, and can afford to have them, get them mostly by friends’ recommendations; whilst those who want them, and can’t afford to have them, make use of their poor relations.’ ‘What shall I do?’ ‘Never mind it.",0,51,"[['PUNCT', 17], ['ADV', 4], ['PRON', 15], ['AUX', 5], ['NOUN', 6], ['VERB', 11], ['INTJ', 1], ['CCONJ', 3], ['PART', 4], ['ADP', 2], ['SCONJ', 1], ['ADJ', 1]]",70,2.0,0.0,1.0,3.0,4.0,6.0,15.0,11.0,0.0,17.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,2.857,0.0,1.429,4.286,5.714,8.571,21.429,15.714,0.0,24.286,7.143,0.0,5.714,1.429,1.429,0.0,0.0
516,Go on living with me.,0,5,"[['VERB', 2], ['ADP', 2], ['PRON', 1], ['PUNCT', 1]]",6,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,16.667,33.333,0.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,Don’t let the difficulty trouble your mind so; you think about it all day.,0,14,"[['AUX', 1], ['PART', 1], ['VERB', 3], ['DET', 2], ['NOUN', 3], ['PRON', 3], ['ADV', 1], ['PUNCT', 2], ['ADP', 1]]",17,1.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.882,11.765,0.0,0.0,5.882,17.647,17.647,17.647,0.0,11.765,5.882,0.0,5.882,0.0,0.0,0.0,0.0
518,"I can keep you, Cythie, in a plain way of living.",0,11,"[['PRON', 2], ['AUX', 1], ['VERB', 1], ['PUNCT', 3], ['PROPN', 1], ['ADP', 2], ['DET', 1], ['ADJ', 1], ['NOUN', 2]]",14,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,7.143,7.143,0.0,0.0,14.286,14.286,7.143,7.143,21.429,7.143,0.0,0.0,0.0,0.0,0.0,0.0
519,"Twenty-five shillings a week do not amount to much truly; but then many mechanics have no more, and we live quite as sparingly as journeymen mechanics...",0,26,"[['NUM', 2], ['PUNCT', 4], ['NOUN', 5], ['DET', 2], ['AUX', 1], ['PART', 1], ['VERB', 3], ['ADP', 1], ['ADJ', 3], ['ADV', 5], ['CCONJ', 2], ['PRON', 1], ['SCONJ', 1]]",31,1.0,2.0,3.0,2.0,5.0,5.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.226,6.452,9.677,6.452,16.129,16.129,3.226,9.677,0.0,12.903,3.226,6.452,3.226,3.226,0.0,0.0,0.0
